pH,total sulfur dioxide,chlorides,residual sugar,citric acid,quality white
3.26 ,143.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,12.7 g/dm^3,0.26 g/dm^3,True
3.22 ,40.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,2.0 g/dm^3,0.41 g/dm^3,False
2.93 ,107.0 mg/dm^3,0.025 g(sodium chloride)/dm^3,7.9 g/dm^3,0.37 g/dm^3,True
3.09 ,169.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,10.6 g/dm^3,0.7 g/dm^3,False
3.34 ,98.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,10.7 g/dm^3,0.33 g/dm^3,True
3.06 ,96.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,1.2 g/dm^3,0.34 g/dm^3,True
3.12 ,168.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,6.8 g/dm^3,0.72 g/dm^3,True
3.48 ,111.0 mg/dm^3,0.024 g(sodium chloride)/dm^3,2.8 g/dm^3,0.1 g/dm^3,True
2.94 ,71.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,8.1 g/dm^3,0.3 g/dm^3,False
3.31 ,132.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,12.8 g/dm^3,0.28 g/dm^3,True
3.34 ,137.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,13.3 g/dm^3,0.24 g/dm^3,False
2.97 ,176.5 mg/dm^3,0.056 g(sodium chloride)/dm^3,12.4 g/dm^3,0.48 g/dm^3,False
3.2 ,151.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,8.5 g/dm^3,0.24 g/dm^3,False
2.93 ,167.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,22.0 g/dm^3,0.4 g/dm^3,False
3.42 ,70.0 mg/dm^3,0.073 g(sodium chloride)/dm^3,1.8 g/dm^3,0.3 g/dm^3,False
2.94 ,220.0 mg/dm^3,0.301 g(sodium chloride)/dm^3,12.1 g/dm^3,0.38 g/dm^3,False
3.13 ,32.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,1.9 g/dm^3,0.22 g/dm^3,False
3.29 ,39.0 mg/dm^3,0.069 g(sodium chloride)/dm^3,8.9 g/dm^3,0.41 g/dm^3,False
3.49 ,131.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,10.2 g/dm^3,0.3 g/dm^3,True
3.14 ,179.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,12.4 g/dm^3,0.41 g/dm^3,False
3.05 ,76.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,9.1 g/dm^3,0.37 g/dm^3,False
3.35 ,90.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,9.6 g/dm^3,0.32 g/dm^3,True
3.3 ,82.0 mg/dm^3,0.022 g(sodium chloride)/dm^3,1.5 g/dm^3,0.31 g/dm^3,True
3.33 ,68.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,1.2 g/dm^3,0.31 g/dm^3,True
3.15 ,162.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,6.3 g/dm^3,0.4 g/dm^3,True
3.34 ,48.0 mg/dm^3,0.065 g(sodium chloride)/dm^3,2.4 g/dm^3,0.4 g/dm^3,False
2.99 ,119.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,9.65 g/dm^3,0.21 g/dm^3,True
3.33 ,87.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,2.0 g/dm^3,0.29 g/dm^3,True
3.13 ,219.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,7.6 g/dm^3,0.17 g/dm^3,False
2.96 ,113.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,6.4 g/dm^3,0.62 g/dm^3,False
3.13 ,156.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,8.2 g/dm^3,0.29 g/dm^3,True
3.2 ,206.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,7.7 g/dm^3,0.3 g/dm^3,True
3.14 ,74.0 mg/dm^3,0.089 g(sodium chloride)/dm^3,2.9 g/dm^3,0.18 g/dm^3,False
3.37 ,38.0 mg/dm^3,0.097 g(sodium chloride)/dm^3,1.9 g/dm^3,0.0 g/dm^3,False
3.1 ,205.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,8.1 g/dm^3,0.49 g/dm^3,True
3.46 ,58.0 mg/dm^3,0.124 g(sodium chloride)/dm^3,5.6 g/dm^3,0.0 g/dm^3,False
3.24 ,165.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,11.3 g/dm^3,0.25 g/dm^3,True
3.2 ,20.0 mg/dm^3,0.09 g(sodium chloride)/dm^3,2.0 g/dm^3,0.03 g/dm^3,False
3.48 ,134.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,6.1 g/dm^3,0.29 g/dm^3,True
3.25 ,155.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,4.1 g/dm^3,0.33 g/dm^3,True
3.56 ,19.0 mg/dm^3,0.071 g(sodium chloride)/dm^3,2.4 g/dm^3,0.4 g/dm^3,False
3.12 ,169.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,13.4 g/dm^3,0.32 g/dm^3,True
3.23 ,99.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,6.4 g/dm^3,0.34 g/dm^3,True
3.03 ,248.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,14.0 g/dm^3,0.26 g/dm^3,True
3.2 ,124.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,10.6 g/dm^3,0.45 g/dm^3,True
3.22 ,97.0 mg/dm^3,0.022 g(sodium chloride)/dm^3,2.4 g/dm^3,0.34 g/dm^3,True
3.26 ,62.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,2.0 g/dm^3,0.3 g/dm^3,False
3.48 ,45.0 mg/dm^3,0.081 g(sodium chloride)/dm^3,2.0 g/dm^3,0.36 g/dm^3,False
3.15 ,178.0 mg/dm^3,0.119 g(sodium chloride)/dm^3,9.6 g/dm^3,0.24 g/dm^3,True
3.34 ,247.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,1.4 g/dm^3,0.12 g/dm^3,True
3.49 ,13.0 mg/dm^3,0.075 g(sodium chloride)/dm^3,2.5 g/dm^3,0.0 g/dm^3,False
3.19 ,49.0 mg/dm^3,0.096 g(sodium chloride)/dm^3,2.5 g/dm^3,0.31 g/dm^3,False
3.1 ,64.0 mg/dm^3,0.126 g(sodium chloride)/dm^3,2.5 g/dm^3,0.31 g/dm^3,False
3.05 ,158.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,6.65 g/dm^3,0.23 g/dm^3,False
3.1 ,35.0 mg/dm^3,0.088 g(sodium chloride)/dm^3,2.4 g/dm^3,0.63 g/dm^3,False
2.96 ,191.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,14.35 g/dm^3,0.73 g/dm^3,False
2.96 ,149.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,14.7 g/dm^3,0.28 g/dm^3,True
3.24 ,147.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,2.1 g/dm^3,0.3 g/dm^3,True
3.29 ,186.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,1.3 g/dm^3,0.3 g/dm^3,False
3.22 ,110.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,1.5 g/dm^3,0.33 g/dm^3,True
3.11 ,27.0 mg/dm^3,0.067 g(sodium chloride)/dm^3,2.0 g/dm^3,0.6 g/dm^3,False
3.16 ,38.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,1.9 g/dm^3,0.27 g/dm^3,False
3.42 ,54.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,2.1 g/dm^3,0.28 g/dm^3,False
2.89 ,109.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.9 g/dm^3,0.37 g/dm^3,False
3.06 ,103.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,16.2 g/dm^3,0.61 g/dm^3,True
3.31 ,110.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,2.6 g/dm^3,0.42 g/dm^3,True
3.08 ,114.0 mg/dm^3,0.019 g(sodium chloride)/dm^3,4.8 g/dm^3,0.37 g/dm^3,True
2.98 ,192.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,14.2 g/dm^3,0.39 g/dm^3,True
3.24 ,88.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,1.2 g/dm^3,0.26 g/dm^3,False
3.18 ,313.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,5.8 g/dm^3,0.31 g/dm^3,False
3.17 ,149.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,10.2 g/dm^3,0.39 g/dm^3,True
3.05 ,161.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,2.5 g/dm^3,0.35 g/dm^3,True
3.16 ,97.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,6.5 g/dm^3,0.28 g/dm^3,True
2.89 ,41.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,6.1 g/dm^3,0.46 g/dm^3,False
3.37 ,57.0 mg/dm^3,0.086 g(sodium chloride)/dm^3,1.9 g/dm^3,0.03 g/dm^3,False
3.32 ,119.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,1.2 g/dm^3,0.3 g/dm^3,True
3.1 ,136.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,9.5 g/dm^3,0.25 g/dm^3,True
2.99 ,168.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,1.8 g/dm^3,0.34 g/dm^3,True
3.21 ,134.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,2.2 g/dm^3,0.2 g/dm^3,False
3.11 ,156.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,5.0 g/dm^3,0.36 g/dm^3,True
3.3 ,122.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,1.0 g/dm^3,0.29 g/dm^3,False
3.2 ,52.0 mg/dm^3,0.081 g(sodium chloride)/dm^3,2.4 g/dm^3,0.42 g/dm^3,False
3.32 ,119.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,1.2 g/dm^3,0.37 g/dm^3,True
3.29 ,182.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,14.2 g/dm^3,0.42 g/dm^3,True
3.03 ,96.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,1.7 g/dm^3,0.32 g/dm^3,True
3.17 ,140.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,3.3 g/dm^3,0.29 g/dm^3,True
3.48 ,166.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,2.1 g/dm^3,0.41 g/dm^3,True
3.42 ,40.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,2.3 g/dm^3,0.13 g/dm^3,False
3.26 ,88.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,4.0 g/dm^3,0.21 g/dm^3,True
3.03 ,171.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,11.1 g/dm^3,0.26 g/dm^3,False
3.16 ,113.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,3.3 g/dm^3,0.23 g/dm^3,False
3.13 ,131.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,1.6 g/dm^3,0.49 g/dm^3,False
3.31 ,216.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,8.3 g/dm^3,0.34 g/dm^3,False
3.36 ,145.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,12.3 g/dm^3,0.33 g/dm^3,False
3.23 ,154.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,4.6 g/dm^3,0.3 g/dm^3,True
3.38 ,78.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,2.4 g/dm^3,0.35 g/dm^3,False
3.12 ,186.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,10.7 g/dm^3,0.31 g/dm^3,True
3.41 ,60.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,1.8 g/dm^3,0.37 g/dm^3,False
3.38 ,80.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,4.6 g/dm^3,0.33 g/dm^3,True
3.32 ,161.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,4.7 g/dm^3,0.19 g/dm^3,True
3.42 ,116.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,4.5 g/dm^3,0.13 g/dm^3,True
3.14 ,222.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,10.7 g/dm^3,0.3 g/dm^3,True
3.36 ,32.0 mg/dm^3,0.089 g(sodium chloride)/dm^3,2.0 g/dm^3,0.05 g/dm^3,False
3.51 ,111.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,1.2 g/dm^3,0.34 g/dm^3,True
3.32 ,186.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,2.5 g/dm^3,0.35 g/dm^3,True
3.45 ,98.0 mg/dm^3,0.103 g(sodium chloride)/dm^3,2.7 g/dm^3,0.32 g/dm^3,False
3.14 ,164.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,15.9 g/dm^3,0.66 g/dm^3,True
3.08 ,114.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,1.4 g/dm^3,0.25 g/dm^3,True
3.55 ,85.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,2.5 g/dm^3,0.01 g/dm^3,False
3.27 ,102.0 mg/dm^3,0.073 g(sodium chloride)/dm^3,1.9 g/dm^3,0.21 g/dm^3,False
3.01 ,155.0 mg/dm^3,0.105 g(sodium chloride)/dm^3,8.9 g/dm^3,0.23 g/dm^3,False
3.19 ,81.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,10.1 g/dm^3,0.33 g/dm^3,True
3.2 ,162.0 mg/dm^3,0.169 g(sodium chloride)/dm^3,5.3 g/dm^3,0.31 g/dm^3,False
3.11 ,132.0 mg/dm^3,0.157 g(sodium chloride)/dm^3,1.4 g/dm^3,0.54 g/dm^3,True
3.11 ,175.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,1.5 g/dm^3,0.3 g/dm^3,False
3.09 ,123.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,13.0 g/dm^3,0.61 g/dm^3,True
3.23 ,131.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,13.15 g/dm^3,0.18 g/dm^3,False
3.35 ,12.0 mg/dm^3,0.068 g(sodium chloride)/dm^3,1.8 g/dm^3,0.39 g/dm^3,False
3.56 ,164.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,5.4 g/dm^3,0.49 g/dm^3,True
3.28 ,85.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,2.8 g/dm^3,0.33 g/dm^3,True
3.12 ,148.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,1.0 g/dm^3,0.21 g/dm^3,True
3.21 ,126.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,1.1 g/dm^3,0.47 g/dm^3,False
3.12 ,125.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,9.1 g/dm^3,0.45 g/dm^3,True
3.22 ,117.0 mg/dm^3,0.071 g(sodium chloride)/dm^3,1.5 g/dm^3,0.09 g/dm^3,False
3.57 ,90.0 mg/dm^3,0.028 g(sodium chloride)/dm^3,1.6 g/dm^3,0.32 g/dm^3,True
3.11 ,122.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,1.2 g/dm^3,0.44 g/dm^3,True
3.76 ,152.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,1.2 g/dm^3,0.29 g/dm^3,True
3.02 ,152.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,3.2 g/dm^3,0.52 g/dm^3,True
3.3 ,15.0 mg/dm^3,0.098 g(sodium chloride)/dm^3,1.9 g/dm^3,0.44 g/dm^3,False
3.17 ,176.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,5.2 g/dm^3,0.26 g/dm^3,True
3.19 ,15.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,2.2 g/dm^3,0.49 g/dm^3,False
3.2 ,153.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,1.4 g/dm^3,0.36 g/dm^3,True
3.36 ,107.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,8.3 g/dm^3,0.28 g/dm^3,True
3.07 ,168.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,4.7 g/dm^3,0.26 g/dm^3,True
3.53 ,272.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,1.7 g/dm^3,0.24 g/dm^3,False
3.2 ,117.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,7.3 g/dm^3,0.22 g/dm^3,True
3.58 ,32.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,1.6 g/dm^3,0.21 g/dm^3,False
3.28 ,73.0 mg/dm^3,0.09 g(sodium chloride)/dm^3,2.8 g/dm^3,0.42 g/dm^3,False
3.18 ,211.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,11.6 g/dm^3,0.5 g/dm^3,False
3.11 ,141.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,15.4 g/dm^3,0.56 g/dm^3,False
3.1 ,237.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,19.9 g/dm^3,0.29 g/dm^3,True
3.05 ,191.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,1.1 g/dm^3,0.19 g/dm^3,True
3.19 ,134.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,1.7 g/dm^3,0.26 g/dm^3,True
3.08 ,71.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.6 g/dm^3,0.35 g/dm^3,False
3.04 ,156.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,12.5 g/dm^3,0.74 g/dm^3,False
3.17 ,204.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,5.7 g/dm^3,0.28 g/dm^3,True
3.35 ,144.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,1.9 g/dm^3,0.24 g/dm^3,False
3.42 ,129.0 mg/dm^3,0.07 g(sodium chloride)/dm^3,5.5 g/dm^3,0.42 g/dm^3,False
3.1 ,71.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,1.1 g/dm^3,0.26 g/dm^3,True
3.23 ,138.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,4.8 g/dm^3,0.24 g/dm^3,True
3.09 ,171.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,15.3 g/dm^3,0.51 g/dm^3,False
3.37 ,98.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,1.3 g/dm^3,0.3 g/dm^3,True
3.17 ,188.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,1.3 g/dm^3,0.32 g/dm^3,False
3.14 ,142.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,14.9 g/dm^3,0.23 g/dm^3,True
3.17 ,37.0 mg/dm^3,0.106 g(sodium chloride)/dm^3,1.6 g/dm^3,0.21 g/dm^3,False
3.05 ,118.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,7.9 g/dm^3,0.32 g/dm^3,True
3.16 ,175.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,6.6 g/dm^3,0.19 g/dm^3,True
3.3 ,9.0 mg/dm^3,0.02 g(sodium chloride)/dm^3,1.0 g/dm^3,0.09 g/dm^3,False
3.3 ,89.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,1.8 g/dm^3,0.06 g/dm^3,False
3.42 ,100.0 mg/dm^3,0.022 g(sodium chloride)/dm^3,1.4 g/dm^3,0.3 g/dm^3,True
3.32 ,96.0 mg/dm^3,0.088 g(sodium chloride)/dm^3,2.1 g/dm^3,0.23 g/dm^3,False
3.15 ,210.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,2.6 g/dm^3,0.34 g/dm^3,False
3.14 ,174.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,1.2 g/dm^3,0.13 g/dm^3,False
3.34 ,12.0 mg/dm^3,0.084 g(sodium chloride)/dm^3,1.9 g/dm^3,0.0 g/dm^3,False
3.12 ,126.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,5.0 g/dm^3,0.28 g/dm^3,True
3.06 ,160.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,10.2 g/dm^3,0.69 g/dm^3,False
3.06 ,122.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,26.05 g/dm^3,0.28 g/dm^3,True
3.18 ,94.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,1.2 g/dm^3,0.37 g/dm^3,False
3.36 ,240.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,6.3 g/dm^3,0.23 g/dm^3,True
3.3 ,154.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,7.1 g/dm^3,0.22 g/dm^3,False
3.2 ,97.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,4.0 g/dm^3,0.27 g/dm^3,True
3.18 ,181.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,14.9 g/dm^3,0.38 g/dm^3,True
3.19 ,196.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,15.6 g/dm^3,0.3 g/dm^3,False
3.1 ,193.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,14.5 g/dm^3,0.31 g/dm^3,True
3.35 ,75.0 mg/dm^3,0.084 g(sodium chloride)/dm^3,2.6 g/dm^3,0.49 g/dm^3,False
3.18 ,49.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,2.6 g/dm^3,0.59 g/dm^3,False
3.09 ,210.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,8.5 g/dm^3,0.28 g/dm^3,False
3.14 ,172.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,3.4 g/dm^3,0.19 g/dm^3,True
3.0 ,132.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,3.7 g/dm^3,0.2 g/dm^3,False
3.29 ,110.0 mg/dm^3,0.085 g(sodium chloride)/dm^3,2.9 g/dm^3,0.49 g/dm^3,False
3.18 ,92.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,2.7 g/dm^3,0.28 g/dm^3,False
3.16 ,135.0 mg/dm^3,0.024 g(sodium chloride)/dm^3,5.2 g/dm^3,0.26 g/dm^3,True
3.36 ,78.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,1.1 g/dm^3,0.28 g/dm^3,True
3.1 ,125.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,6.9 g/dm^3,0.35 g/dm^3,True
3.41 ,85.0 mg/dm^3,0.021 g(sodium chloride)/dm^3,1.6 g/dm^3,0.29 g/dm^3,True
3.38 ,114.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,7.4 g/dm^3,0.24 g/dm^3,True
3.35 ,173.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,1.3 g/dm^3,0.25 g/dm^3,True
3.09 ,153.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,2.1 g/dm^3,0.3 g/dm^3,True
3.4 ,69.0 mg/dm^3,0.086 g(sodium chloride)/dm^3,2.4 g/dm^3,0.21 g/dm^3,False
3.6 ,61.0 mg/dm^3,0.096 g(sodium chloride)/dm^3,3.3 g/dm^3,0.0 g/dm^3,False
3.18 ,146.0 mg/dm^3,0.069 g(sodium chloride)/dm^3,3.4 g/dm^3,0.26 g/dm^3,False
3.24 ,105.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,8.3 g/dm^3,0.32 g/dm^3,True
3.21 ,149.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,7.0 g/dm^3,0.49 g/dm^3,False
3.06 ,150.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,8.6 g/dm^3,0.38 g/dm^3,False
3.28 ,168.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,1.4 g/dm^3,0.27 g/dm^3,True
3.46 ,22.0 mg/dm^3,0.079 g(sodium chloride)/dm^3,2.9 g/dm^3,0.09 g/dm^3,False
3.11 ,115.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,10.2 g/dm^3,0.28 g/dm^3,True
3.41 ,128.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,6.0 g/dm^3,0.49 g/dm^3,True
3.5 ,58.0 mg/dm^3,0.093 g(sodium chloride)/dm^3,2.5 g/dm^3,0.0 g/dm^3,False
3.15 ,204.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,11.4 g/dm^3,0.09 g/dm^3,False
